skillId,skillName,skillDesc,icon,castTime,range,use,passive
SKILL_SHIELD_CHARGE,Shield Charge,최대HP의 15% 보호막을 부여한 후 멀리 있는 적에게 돌진. 경로와 도착지점에 200% 피해. 보호막은 3초 지속,icon_shield_charge,0.5,-1,1,0
SKILL_SHIELD_AURA,Shield Aura,3초간 자신에게 최대HP의 20% 보호막 부여. 주변 3m 내 아군에게는 10% 보호막 부여,icon_shield_aura,0,-1,1,0
SKILL_WIND_PUSH,Wind Push,강력한 바람으로 적들을 왼쪽으로 밀어냄,icon_wind,0,0,1,0
SKILL_FLASH_SLASH,Flash Slash,멀리 있는 적에게 순식간에 이동하며 경로의 적들을 베어 공격력의 130% 피해,icon_flash_slash,0,-1,1,0
SKILL_THUNDER_SLAM,Thunder Slam,주변 범위에 공격력의 250% 피해를 입히고 1.5초간 스턴,icon_thunder_slam,0.5,0,1,0
SKILL_WHIRLWIND,Whirlwind,주변 범위에 공격력의 150% 피해,icon_whirlwind,0,0,1,0
SKILL_ASSASSINATE,암살,최대HP가 가장 낮은 적에게 순간이동해 공격력의 200% 피해,icon_assassinate,0.2,-1,1,0
SKILL_TOXIC_AURA,독성 오라,주변에 풍기는 냄새로 매초 공격력의 40% 피해,icon_toxic,0,0,1,1
SKILL_CHAINSAW_WHIRLWIND,전기톱 회전,전기톱을 회전시켜 주변 범위에 공격력의 150% 피해,icon_chainsaw,0,0,1,0
SKILL_BAZOOKA,바주카 포격,3발의 포탄을 발사. 적은 관통하고 벽에 2회 튕김,icon_bazooka,0.3,0,1,0
SKILL_FLASHBANG,섬광탄,적에게 섬광탄을 던져 범위 피해와 2.2초 혼란,icon_flashbang,0.2,0,1,0
SKILL_HEALING_POTION,치유 물약,HP가 낮은 아군 2명에게 약병을 던져 공격력의 150%만큼 회복,icon_healing,0.2,0,1,0
SKILL_TRIPLE_AXEL,트리플 악셀,주변 범위에 공격력의 250% 피해를 입히고 1.5초간 스턴,icon_triple_axel,0.5,0,1,0
SKILL_BASIC_MISSILE,미사일 평타,추적 미사일을 발사하여 공격력의 100% 피해,icon_missile,0,0,1,0
SKILL_BASIC_ROCKET,로켓 평타,직선 로켓을 발사하여 공격력의 100% 피해,icon_missile,0,0,1,0
SKILL_BASIC_BULLET,총알 평타,일반 총알을 발사하여 공격력의 100% 피해,icon_bullet,0,0,1,0
SKILL_BASIC_SNAKE,뱀독 평타,독액을 발사하여 공격력의 100% 피해,icon_bullet,0,0,1,0
SKILL_BASIC_MAD,매드 평타,마법탄을 발사하여 공격력의 100% 피해,icon_bullet,0,0,1,0
SKILL_BASIC_STONE,짱돌 평타,짱돌을 던져서 공격력의 100% 피해,,0,0,1,0
SKILL_PIRATE_POISON_SLASH,독 칼 휘두르기,전방으로 독이 묻은 칼을 휘둘러 범위 내의 적에게 공격력의 20% 피해 + 1.5초 스턴,icon_slash,0.5,0,1,0
SKILL_DIVER_WATER_SHIELD,물방울 무적,자신을 물방울로 감싸 3초간 무적상태 부여,icon_shield,0,-1,1,0
